ano_compra;"cnpj_instituicao";"sg_uf";"ds_esfera";dt_compra;dt_insercao;validade_compra;"co_catmat";"ds_item";"co_pdm";"co_grupo";"no_grupo";"co_classe";"no_classe";"fg_generico";"tp_compra";"sg_unidade_medida";"cnpj_fornecedor";"no_fornecedor";"cnpj_fabricante";"no_fabricante";qt_medicamento;"ds_observacao";"no_instituicao";"no_municipio";"un_medida_capacidade";"no_pdm";"nu_processo_compra";"nu_ata";"un_fornecimento";"registro_anvisa";"modalidade";vl_capacidade;vl_preco_unitario;vl_preco_total;co_seq_bps
"2026";"46374500026231";"SP";"ESTADUAL";"09/01/2026";"23/03/2026";"12";"446467";"PALIVIZUMABE, CONCENTRAÇÃO:100 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL";"18814";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"N";"ADMINISTRATIVA";"ML";"60318797000100";"ASTRAZENECA DO BRASIL LTDA.";"60318797000100";"ASTRAZENECA DO BRASIL LTDA.";"723";;"SECRETARIA DE ESTADO DA SAUDE";"SAO PAULO";"FRASCO 1,00 ML";"PALIVIZUMABE";"024.00102731/2025-78";"PERP 013/2026";"FRASCO";"1161802860021";"Pregão";"100.0";"5029.73";"3636494.79";"14603144"
"2026";"10540697000147";"SC";"MUNICIPAL";"16/03/2026";"03/06/2026";"12";"267510";"AMIODARONA, DOSAGEM:200 MG";"2420";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"N";"ADMINISTRATIVA";;"03652030000332";"CENTERMEDI-COMERCIO DE PRODUTOS HOSPITALARES LTDA";"03485572000104";"GEOLAB INDUSTRIA FARMACEUTICA S/A";"19000";;"FUNDO MUNICIPAL DE SAUDE DE FORQUILHINHA";"FORQUILHINHA";"COMPRIMIDO";"AMIODARONA";"27/2025";"N/A";"COMPRIMIDO";"1542300020042";"Pregão";;"0.172";"3268.0";"14603352"
"2026";"19047937000140";"RO";"MUNICIPAL";"03/07/2026";"03/09/2026";"12";"273009";"FLUOXETINA, DOSAGEM:20 MG";"7667";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"S";"ADMINISTRATIVA";;"09135378000177";"CALLMED DISTRIBUIDORA DE PRODUTOS FARMACEUTICOS LTDA";"17159229000176";"LABORATORIO TEUTO BRASILEIRO S/A";"20000";"PREGÃO ELETRÔNICO Nº 16/2026";"FUNDO MUNICIPAL DE SAUDE DE MACHADINHO D'OESTE";"MACHADINHO D'OESTE";"CÁPSULA";"FLUOXETINA";"1030/2026";"16/2026";"CÁPSULA";"1037004870039";"Pregão";;"0.06";"1200.0";"14603470"
"2026";"76416866000140";"PR";"ESTADUAL";"26/01/2026";"30/01/2026";"12";"448765";"SOMATROPINA, CONCENTRAÇÃO:6,66 MG/ML, FORMA FARMACEUTICA:SOLUÇÃO INJETÁVEL, CARACTERÍSTICA ADICIONAL:COM APLICADOR";"12269";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"N";"JUDICIAL";"ML";"81706251000198";"PROMEFARMA MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA";"82277955000155";"NOVO NORDISK FARMACEUTICA DO BRASIL LTDA";"192";"Registro de Preços, pelo período de 1 (um) ano, podendo ser prorrogado por igual período, desde que comprovado o preço vantajoso, para futura e eventual aquisição de Medicamentos – (DEMANDA JUDICIAL 34)";"SECRETARIA DE ESTADO DA SAUDE";"CURITIBA";"TUBETE 1,50 ML";"SOMATROPINA";"243102553";"1689";"TUBETE";"1176600060138";"Pregão";"150.0";"652.63";"125304.96";"14603590"
"2026";"76416866000140";"PR";"ESTADUAL";"22/01/2026";"04/02/2026";"12";"272793";"FLUDROCORTISONA ACETATO, DOSAGEM:0,1 MG";"1767";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"N";"ADMINISTRATIVA";;"81706251000198";"PROMEFARMA MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA";"02433631000120";"ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA";"200400";"Registro de Preços, pelo período de 1 (um) ano, podendo ser prorrogado por igual período, desde que comprovado o preço vantajoso, para futura e eventual aquisição de Medicamentos – CEAF 11";"SECRETARIA DE ESTADO DA SAUDE";"CURITIBA";"COMPRIMIDO";"FLUDROCORTISONA ACETATO";"245451474";"1713";"COMPRIMIDO";"1376401600011";"Pregão";;"1.95";"390780.0";"14603667"
"2026";"10540697000147";"SC";"MUNICIPAL";"16/03/2026";"03/06/2026";"12";"267503";"ÁCIDO FÓLICO, DOSAGEM:5 MG";"354";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"N";"ADMINISTRATIVA";;"03652030000332";"CENTERMEDI-COMERCIO DE PRODUTOS HOSPITALARES LTDA";"19570720000110";"HIPOLABOR FARMACEUTICA LTDA";"40000";;"FUNDO MUNICIPAL DE SAUDE DE FORQUILHINHA";"FORQUILHINHA";"COMPRIMIDO";"ÁCIDO FÓLICO";"27/2025";"N/A";"COMPRIMIDO";"1134301590024";"Pregão";;"0.043";"1720.0";"14604815"
"2026";"10540697000147";"SC";"MUNICIPAL";"16/03/2026";"03/06/2026";"12";"267511";"AMINOFILINA, DOSAGEM:100 MG";"351";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"S";"ADMINISTRATIVA";;"03652030000332";"CENTERMEDI-COMERCIO DE PRODUTOS HOSPITALARES LTDA";"19570720000110";"HIPOLABOR FARMACEUTICA LTDA";"500";;"FUNDO MUNICIPAL DE SAUDE DE FORQUILHINHA";"FORQUILHINHA";"COMPRIMIDO";"AMINOFILINA";"27/2025";"N/A";"COMPRIMIDO";"1134301650035";"Pregão";;"0.08";"40.0";"14607765"
"2026";"10540697000147";"SC";"MUNICIPAL";"16/03/2026";"03/06/2026";"12";"267621";"CARBONATO DE LÍTIO, DOSAGEM:300 MG";"4517";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"N";"ADMINISTRATIVA";;"03652030000332";"CENTERMEDI-COMERCIO DE PRODUTOS HOSPITALARES LTDA";"49475833000106";"BIOLAB SANUS FARMACEUTICA LTDA";"95000";;"FUNDO MUNICIPAL DE SAUDE DE FORQUILHINHA";"FORQUILHINHA";"COMPRIMIDO";"CARBONATO DE LÍTIO";"27/2025";"N/A";"COMPRIMIDO";"1097403090073";"Pregão";;"0.2276";"21622.0";"14607945"
"2026";"46373445000118";"SP";"MUNICIPAL";"25/06/2026";"01/09/2026";"12";"267712";"OMEPRAZOL, CONCENTRAÇÃO:20 MG";"10216";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";"S";"ADMINISTRATIVA";;"29404097000180";"OCTO FARMACO LTDA";"17115437000173";"LABORATORIO GLOBO SA";"160000";;"MUNICIPIO DE TAMBAU";"TAMBAU";"CÁPSULA";"OMEPRAZOL";"21/2026";"112/2026";"CÁPSULA";"1053501720126";"Pregão";;"0.07";"11200.0";"14652026"
"2026";"19047937000140";"RO";"MUNICIPAL";"03/07/2026";"03/09/2026";"12";"272043";"CLONIDINA CLORIDRATO, CONCENTRAÇÃO:0,1 MG";"5156";"65";"Equipamentos e artigos para uso médico, dentário e veterinario";"6505";"DROGAS E MEDICAMENTOS";;"ADMINISTRATIVA";;"31580603000133";"GLO COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES LTDA";"39032974000192";"VIC PHARMA INDUSTRIA E COMERCIO LTDA";"2000";"PREGÃO ELETRÔNICO Nº 16/2026";"FUNDO MUNICIPAL DE SAUDE DE MACHADINHO D'OESTE";"MACHADINHO D'OESTE";"COMPRIMIDO";"CLONIDINA CLORIDRATO";"1030/2026";"16/2026";"COMPRIMIDO";;"Pregão";;"0.38";"760.0";"14615158"
